# BUSCO version is: 6.0.0 
# The lineage dataset is: mycobacterium_odb12 (Creation date: 2025-05-14, number of genomes: 172, number of BUSCOs: 1512)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
14208at1763	Complete	NODE_37_length_46606_cov_25.406026	30861	32216	+	934.4	447
15374at1763	Complete	NODE_67_length_19765_cov_23.373527	7042	4988	-	980.2	534
15512at1763	Complete	NODE_31_length_56331_cov_26.469691	27395	28879	+	708.3	465
15842at1763	Complete	NODE_46_length_35800_cov_25.504773	34101	35366	+	844.5	416
15985at1763	Complete	NODE_37_length_46606_cov_25.406026	18890	17472	-	928.4	470
16210at1763	Duplicated	NODE_28_length_61498_cov_26.124176	21391	22713	+	901.3	425
16210at1763	Duplicated	NODE_28_length_61498_cov_26.124176	40108	38786	-	901.3	425
16315at1763	Complete	NODE_7_length_101874_cov_25.599713	69908	71071	+	839.1	387
16500at1763	Complete	NODE_7_length_101874_cov_25.599713	18654	17338	-	851.6	437
16617at1763	Complete	NODE_11_length_86115_cov_26.384342	8168	6942	-	791.7	403
16741at1763	Fragmented	NODE_60_length_24995_cov_25.848262	8053	7238	-	522.8	264
16926at1763	Duplicated	NODE_1_length_348435_cov_26.263884	298853	297486	-	793.5	432
16926at1763	Duplicated	NODE_1_length_348435_cov_26.263884	49583	50950	+	793.5	432
18145at1763	Complete	NODE_108_length_6050_cov_27.518332	4202	5590	+	999.6	460
18169at1763	Complete	NODE_59_length_25523_cov_29.000039	2008	3609	+	963.9	495
18987at1763	Complete	NODE_3_length_131980_cov_26.711379	32564	31299	-	880.9	420
19772at1763	Complete	NODE_11_length_86115_cov_26.384342	64610	63441	-	750.3	369
20356at1763	Complete	NODE_7_length_101874_cov_25.599713	67491	66316	-	800.4	382
21013at1763	Complete	NODE_12_length_86089_cov_25.824931	18745	17759	-	668.8	325
22825at1763	Complete	NODE_4_length_113218_cov_24.295605	25802	27286	+	857.5	451
22879at1763	Complete	NODE_60_length_24995_cov_25.848262	241	1593	+	731.9	401
22971at1763	Complete	NODE_102_length_6939_cov_22.503060	5514	6815	+	837.5	427
23374at1763	Complete	NODE_9_length_97919_cov_26.930510	79677	80792	+	755.6	370
23983at1763	Complete	NODE_12_length_86089_cov_25.824931	30069	28963	-	785.5	367
24012at1763	Complete	NODE_37_length_46606_cov_25.406026	24312	23044	-	815.1	419
24452at1763	Complete	NODE_2_length_141379_cov_27.290965	125487	126776	+	872.6	412
25008at1763	Complete	NODE_7_length_101874_cov_25.599713	95620	94616	-	622.6	308
25357at1763	Complete	NODE_11_length_86115_cov_26.384342	69923	71185	+	763.6	413
25439at1763	Complete	NODE_6_length_102250_cov_26.717734	23788	22223	-	472.1	264
26101at1763	Complete	NODE_65_length_21669_cov_24.533901	12235	13437	+	768.9	394
26221at1763	Complete	NODE_4_length_113218_cov_24.295605	23002	24576	+	796.6	411
26250at1763	Complete	NODE_36_length_47284_cov_27.552799	38061	39251	+	826.0	388
26663at1763	Complete	NODE_38_length_45596_cov_26.680990	31014	29581	-	803.1	397
26675at1763	Complete	NODE_34_length_50438_cov_25.530569	36594	37871	+	754.2	380
27093at1763	Complete	NODE_32_length_55836_cov_24.758138	1598	2692	+	710.2	354
27307at1763	Complete	NODE_5_length_106117_cov_26.441098	92279	93586	+	824.7	424
27757at1763	Complete	NODE_107_length_6082_cov_23.811823	2963	4102	+	767.8	371
27843at1763	Complete	NODE_65_length_21669_cov_24.533901	14479	15552	+	664.4	347
28221at1763	Complete	NODE_32_length_55836_cov_24.758138	11744	12907	+	776.3	369
28363at1763	Duplicated	NODE_28_length_61498_cov_26.124176	27335	28567	+	730.1	367
28363at1763	Duplicated	NODE_28_length_61498_cov_26.124176	34164	32932	-	730.1	367
28657at1763	Complete	NODE_66_length_20871_cov_24.463499	2619	3683	+	688.4	351
28760at1763	Complete	NODE_52_length_27912_cov_25.462583	9560	8547	-	698.4	333
29086at1763	Complete	NODE_103_length_6814_cov_24.166988	1742	5359	+	2243.5	1188
29463at1763	Complete	NODE_29_length_60622_cov_26.605616	3633	2212	-	888.4	447
29711at1763	Complete	NODE_12_length_86089_cov_25.824931	56837	55743	-	659.4	349
29730at1763	Complete	NODE_81_length_13938_cov_26.976336	118	1341	+	703.9	399
29866at1763	Complete	NODE_17_length_72330_cov_27.105089	50229	51101	+	508.1	286
30024at1763	Complete	NODE_13_length_83864_cov_25.393975	48237	49610	+	812.6	430
30360at1763	Complete	NODE_5_length_106117_cov_26.441098	90672	91730	+	711.7	348
30589at1763	Complete	NODE_4_length_113218_cov_24.295605	104527	105699	+	673.9	377
30669at1763	Complete	NODE_16_length_74802_cov_26.123546	48789	49916	+	799.1	372
30798at1763	Complete	NODE_40_length_40978_cov_26.731327	28416	29489	+	630.4	331
30808at1763	Complete	NODE_25_length_64065_cov_26.626196	37155	38399	+	702.3	376
30897at1763	Complete	NODE_37_length_46606_cov_25.406026	17467	16223	-	750.5	386
31345at1763	Complete	NODE_36_length_47284_cov_27.552799	41740	43098	+	715.1	420
31384at1763	Complete	NODE_89_length_11106_cov_26.416448	9921	10997	+	710.8	356
32286at1763	Complete	NODE_35_length_50015_cov_26.573812	40328	41740	+	857.7	434
32355at1763	Complete	NODE_3_length_131980_cov_26.711379	13807	15129	+	846.1	439
32545at1763	Complete	NODE_64_length_22320_cov_25.903655	9263	7305	-	969.8	601
32551at1763	Complete	NODE_33_length_54385_cov_23.969360	20926	19982	-	616.8	298
32638at1763	Complete	NODE_32_length_55836_cov_24.758138	28069	27029	-	530.6	299
33211at1763	Duplicated	NODE_1_length_348435_cov_26.263884	168333	169631	+	731.2	384
33211at1763	Duplicated	NODE_1_length_348435_cov_26.263884	180103	178805	-	731.2	384
33213at1763	Complete	NODE_18_length_71476_cov_28.439264	43064	44293	+	681.3	398
33240at1763	Complete	NODE_41_length_40471_cov_25.802545	34496	35917	+	839.4	456
33286at1763	Complete	NODE_4_length_113218_cov_24.295605	79481	80479	+	573.7	309
34433at1763	Complete	NODE_49_length_30605_cov_26.801068	25091	26089	+	624.0	331
35018at1763	Complete	NODE_29_length_60622_cov_26.605616	5496	4582	-	598.5	299
35216at1763	Complete	NODE_66_length_20871_cov_24.463499	9503	10477	+	567.9	287
35531at1763	Complete	NODE_9_length_97919_cov_26.930510	19922	20896	+	667.8	319
35881at1763	Complete	NODE_50_length_29790_cov_26.176118	105	947	+	598.0	278
36938at1763	Complete	NODE_66_length_20871_cov_24.463499	20092	19157	-	558.8	291
37395at1763	Complete	NODE_15_length_78221_cov_25.797029	62828	63979	+	689.7	372
37923at1763	Complete	NODE_30_length_59440_cov_24.904233	48648	47749	-	635.4	295
38170at1763	Complete	NODE_13_length_83864_cov_25.393975	50330	51349	+	627.4	331
39146at1763	Complete	NODE_11_length_86115_cov_26.384342	58702	57785	-	513.3	280
39150at1763	Complete	NODE_11_length_86115_cov_26.384342	18803	17880	-	584.5	289
39637at1763	Complete	NODE_48_length_31332_cov_22.401408	20836	19778	-	706.9	342
39772at1763	Complete	NODE_38_length_45596_cov_26.680990	27138	25906	-	734.6	396
40386at1763	Complete	NODE_4_length_113218_cov_24.295605	80476	81426	+	594.8	309
41166at1763	Complete	NODE_57_length_26197_cov_25.820789	13319	14221	+	604.8	298
41410at1763	Complete	NODE_12_length_86089_cov_25.824931	51841	52686	+	550.6	266
41575at1763	Complete	NODE_97_length_8875_cov_20.935895	2381	1299	-	650.1	348
41606at1763	Duplicated	NODE_40_length_40978_cov_26.731327	25144	23870	-	701.2	387
41606at1763	Duplicated	NODE_2_length_141379_cov_27.290965	63353	64651	+	636.0	387
41627at1763	Complete	NODE_3_length_131980_cov_26.711379	106551	107372	+	569.0	259
42442at1763	Complete	NODE_22_length_65767_cov_24.403867	25580	26524	+	590.2	295
42686at1763	Complete	NODE_3_length_131980_cov_26.711379	85939	84884	-	574.7	325
42690at1763	Complete	NODE_34_length_50438_cov_25.530569	32387	31479	-	477.7	267
43180at1763	Complete	NODE_2_length_141379_cov_27.290965	37075	38109	+	637.9	327
43229at1763	Complete	NODE_6_length_102250_cov_26.717734	64020	65033	+	595.0	325
43335at1763	Complete	NODE_19_length_70437_cov_26.982248	1845	985	-	569.9	283
43622at1763	Complete	NODE_48_length_31332_cov_22.401408	11721	10837	-	586.8	287
43759at1763	Duplicated	NODE_1_length_348435_cov_26.263884	109439	110278	+	515.1	273
43759at1763	Duplicated	NODE_1_length_348435_cov_26.263884	238997	238158	-	515.1	273
44046at1763	Complete	NODE_59_length_25523_cov_29.000039	15921	16742	+	470.2	265
44086at1763	Complete	NODE_41_length_40471_cov_25.802545	26347	27516	+	638.0	363
44181at1763	Complete	NODE_61_length_23524_cov_25.928562	13743	12634	-	529.3	332
44221at1763	Complete	NODE_24_length_64205_cov_27.166604	9380	8022	-	670.0	358
44418at1763	Complete	NODE_2_length_141379_cov_27.290965	36260	37069	+	546.7	268
44672at1763	Complete	NODE_66_length_20871_cov_24.463499	2561	1575	-	635.8	311
46687at1763	Complete	NODE_19_length_70437_cov_26.982248	43851	44726	+	495.8	255
47502at1763	Complete	NODE_25_length_64065_cov_26.626196	30466	29510	-	593.7	300
47599at1763	Complete	NODE_8_length_98811_cov_26.943788	4260	3415	-	466.8	258
48027at1763	Complete	NODE_7_length_101874_cov_25.599713	63950	64729	+	473.1	250
48029at1763	Complete	NODE_47_length_32951_cov_26.171503	4266	5210	+	548.3	271
48168at1763	Complete	NODE_16_length_74802_cov_26.123546	70181	69255	-	522.1	334
48246at1763	Complete	NODE_9_length_97919_cov_26.930510	16422	17114	+	471.5	223
48644at1763	Complete	NODE_41_length_40471_cov_25.802545	27549	28400	+	547.0	278
48899at1763	Complete	NODE_22_length_65767_cov_24.403867	59639	58602	-	593.4	336
48933at1763	Complete	NODE_3_length_131980_cov_26.711379	97811	98695	+	554.6	271
49031at1763	Complete	NODE_42_length_39325_cov_26.288626	24800	23988	-	486.7	263
49157at1763	Complete	NODE_79_length_15157_cov_19.878183	8609	9520	+	593.0	301
49308at1763	Complete	NODE_51_length_29327_cov_25.015761	15038	14196	-	478.8	259
49760at1763	Complete	NODE_12_length_86089_cov_25.824931	61736	62551	+	492.1	263
50020at1763	Complete	NODE_8_length_98811_cov_26.943788	5372	4416	-	571.7	310
50143at1763	Missing
50404at1763	Complete	NODE_7_length_101874_cov_25.599713	63895	63152	-	531.3	246
50545at1763	Complete	NODE_49_length_30605_cov_26.801068	8827	8042	-	401.4	234
51046at1763	Complete	NODE_38_length_45596_cov_26.680990	17405	16530	-	454.8	263
51442at1763	Complete	NODE_8_length_98811_cov_26.943788	3418	2504	-	433.5	257
51525at1763	Complete	NODE_11_length_86115_cov_26.384342	9216	8176	-	571.3	342
51659at1763	Complete	NODE_9_length_97919_cov_26.930510	13430	14404	+	608.1	312
51739at1763	Complete	NODE_43_length_36700_cov_24.963793	31450	30737	-	485.2	235
52750at1763	Complete	NODE_7_length_101874_cov_25.599713	48751	47798	-	551.5	301
52894at1763	Complete	NODE_93_length_10137_cov_27.687575	6250	5429	-	515.4	263
52909at1763	Fragmented	NODE_66_length_20871_cov_24.463499	5983	4295	-	316.6	203
53716at1763	Complete	NODE_41_length_40471_cov_25.802545	16424	17116	+	458.2	223
54143at1763	Complete	NODE_39_length_44529_cov_27.423378	15126	14383	-	481.6	242
54255at1763	Complete	NODE_5_length_106117_cov_26.441098	21817	22452	+	380.1	196
54787at1763	Complete	NODE_25_length_64065_cov_26.626196	63766	63113	-	458.5	215
55181at1763	Complete	NODE_27_length_61687_cov_27.192355	42057	41272	-	473.3	252
55823at1763	Complete	NODE_51_length_29327_cov_25.015761	22637	21840	-	430.4	261
56056at1763	Complete	NODE_43_length_36700_cov_24.963793	29695	29000	-	435.3	229
56564at1763	Complete	NODE_16_length_74802_cov_26.123546	4363	4968	+	413.9	200
56579at1763	Complete	NODE_7_length_101874_cov_25.599713	36627	35965	-	453.4	213
58505at1763	Complete	NODE_103_length_6814_cov_24.166988	1049	1462	+	261.2	135
58609at1763	Complete	NODE_26_length_61803_cov_25.397466	25372	26046	+	389.4	214
59806at1763	Complete	NODE_22_length_65767_cov_24.403867	42114	42857	+	496.4	247
60571at1763	Complete	NODE_2_length_141379_cov_27.290965	8316	9050	+	450.1	223
60910at1763	Complete	NODE_12_length_86089_cov_25.824931	38683	39375	+	400.3	211
61137at1763	Complete	NODE_88_length_11232_cov_26.182788	8926	9537	+	387.2	192
61446at1763	Duplicated	NODE_1_length_348435_cov_26.263884	110320	111069	+	473.5	238
61446at1763	Duplicated	NODE_1_length_348435_cov_26.263884	238116	237367	-	473.5	238
61861at1763	Complete	NODE_12_length_86089_cov_25.824931	6146	5403	-	417.8	237
62297at1763	Complete	NODE_3_length_131980_cov_26.711379	80832	80311	-	307.4	168
62544at1763	Complete	NODE_19_length_70437_cov_26.982248	5855	6427	+	285.2	174
62832at1763	Complete	NODE_13_length_83864_cov_25.393975	25582	26406	+	460.1	260
63294at1763	Complete	NODE_50_length_29790_cov_26.176118	9636	10199	+	394.0	187
63416at1763	Complete	NODE_3_length_131980_cov_26.711379	23001	21829	-	617.9	349
64046at1763	Complete	NODE_22_length_65767_cov_24.403867	40069	40947	+	502.7	268
64238at1763	Complete	NODE_90_length_11056_cov_25.201476	2	679	+	395.4	191
64262at1763	Complete	NODE_68_length_19625_cov_26.224422	4656	5507	+	449.3	226
64619at1763	Complete	NODE_13_length_83864_cov_25.393975	29538	30164	+	350.6	179
64664at1763	Complete	NODE_21_length_66119_cov_27.177084	7538	6777	-	455.2	250
65118at1763	Complete	NODE_7_length_101874_cov_25.599713	30655	31623	+	568.6	301
65571at1763	Complete	NODE_50_length_29790_cov_26.176118	25120	25653	+	321.9	169
65762at1763	Complete	NODE_7_length_101874_cov_25.599713	55459	56019	+	394.6	185
66032at1763	Complete	NODE_46_length_35800_cov_25.504773	32571	31891	-	428.0	225
66186at1763	Complete	NODE_44_length_36515_cov_24.564411	36335	35835	-	277.9	164
66349at1763	Complete	NODE_32_length_55836_cov_24.758138	75	632	+	375.3	185
66552at1763	Complete	NODE_16_length_74802_cov_26.123546	13880	12507	-	502.4	318
66737at1763	Complete	NODE_4_length_113218_cov_24.295605	6331	5648	-	405.8	208
66850at1763	Complete	NODE_39_length_44529_cov_27.423378	28222	27539	-	333.5	185
66937at1763	Complete	NODE_39_length_44529_cov_27.423378	31625	31035	-	341.7	185
67081at1763	Complete	NODE_12_length_86089_cov_25.824931	60620	61252	+	368.6	203
67198at1763	Duplicated	NODE_28_length_61498_cov_26.124176	20130	20684	+	397.8	184
67198at1763	Duplicated	NODE_28_length_61498_cov_26.124176	41369	40815	-	397.8	184
67443at1763	Complete	NODE_15_length_78221_cov_25.797029	77367	77852	+	300.9	155
68349at1763	Complete	NODE_2_length_141379_cov_27.290965	140598	141107	+	262.7	165
68541at1763	Complete	NODE_12_length_86089_cov_25.824931	35800	34022	-	1101.8	573
68612at1763	Complete	NODE_35_length_50015_cov_26.573812	42185	41712	-	308.8	157
69443at1763	Complete	NODE_34_length_50438_cov_25.530569	32944	32405	-	302.6	171
69766at1763	Complete	NODE_4_length_113218_cov_24.295605	7047	6427	-	348.8	194
70047at1763	Complete	NODE_30_length_59440_cov_24.904233	39398	38808	-	336.4	187
70344at1763	Complete	NODE_11_length_86115_cov_26.384342	33913	33113	-	383.2	254
70371at1763	Complete	NODE_68_length_19625_cov_26.224422	11575	12018	+	281.1	144
70536at1763	Complete	NODE_79_length_15157_cov_19.878183	9517	10260	+	419.3	232
70761at1763	Complete	NODE_4_length_113218_cov_24.295605	29499	30302	+	396.8	216
70941at1763	Duplicated	NODE_1_length_348435_cov_26.263884	104289	105023	+	361.5	233
70941at1763	Duplicated	NODE_1_length_348435_cov_26.263884	244147	243413	-	361.5	233
71105at1763	Complete	NODE_13_length_83864_cov_25.393975	41973	42668	+	369.5	214
71371at1763	Complete	NODE_19_length_70437_cov_26.982248	35353	36213	+	456.6	249
71389at1763	Complete	NODE_38_length_45596_cov_26.680990	19211	18279	-	339.7	276
71991at1763	Complete	NODE_12_length_86089_cov_25.824931	61245	61736	+	311.2	160
72798at1763	Complete	NODE_51_length_29327_cov_25.015761	23197	22637	-	340.1	184
72874at1763	Complete	NODE_12_length_86089_cov_25.824931	11709	12551	+	553.6	264
73450at1763	Complete	NODE_11_length_86115_cov_26.384342	11326	11745	+	295.7	139
73776at1763	Complete	NODE_40_length_40978_cov_26.731327	26917	26429	-	329.3	159
74709at1763	Duplicated	NODE_1_length_348435_cov_26.263884	259968	259513	-	242.7	133
74709at1763	Duplicated	NODE_1_length_348435_cov_26.263884	88468	88923	+	242.7	133
74717at1763	Complete	NODE_8_length_98811_cov_26.943788	87183	86701	-	314.5	157
74802at1763	Complete	NODE_26_length_61803_cov_25.397466	24971	25387	+	273.4	134
74851at1763	Complete	NODE_3_length_131980_cov_26.711379	10820	11473	+	344.9	193
75134at1763	Complete	NODE_25_length_64065_cov_26.626196	48237	47161	-	411.2	267
75174at1763	Complete	NODE_5_length_106117_cov_26.441098	87821	88609	+	450.7	250
75287at1763	Missing
75362at1763	Duplicated	NODE_1_length_348435_cov_26.263884	259414	258974	-	278.4	145
75362at1763	Duplicated	NODE_1_length_348435_cov_26.263884	89022	89462	+	278.4	145
75581at1763	Complete	NODE_35_length_50015_cov_26.573812	18278	18721	+	266.1	138
75792at1763	Complete	NODE_4_length_113218_cov_24.295605	1372	1836	+	262.4	132
76004at1763	Complete	NODE_50_length_29790_cov_26.176118	20443	21171	+	383.3	214
76196at1763	Complete	NODE_25_length_64065_cov_26.626196	59141	59596	+	234.7	146
76411at1763	Complete	NODE_12_length_86089_cov_25.824931	24937	25431	+	295.9	161
76467at1763	Complete	NODE_38_length_45596_cov_26.680990	984	436	-	246.1	145
76739at1763	Complete	NODE_12_length_86089_cov_25.824931	79456	78887	-	316.1	186
77079at1763	Complete	NODE_22_length_65767_cov_24.403867	41629	42117	+	322.4	151
77475at1763	Complete	NODE_12_length_86089_cov_25.824931	36064	37725	+	549.2	249
77480at1763	Complete	NODE_4_length_113218_cov_24.295605	27283	28227	+	514.5	273
77585at1763	Complete	NODE_25_length_64065_cov_26.626196	51372	52043	+	311.8	191
77877at1763	Complete	NODE_16_length_74802_cov_26.123546	21675	22130	+	281.0	137
77899at1763	Complete	NODE_29_length_60622_cov_26.605616	57993	58523	+	286.3	171
78100at1763	Complete	NODE_36_length_47284_cov_27.552799	26286	26660	+	270.1	123
78280at1763	Complete	NODE_35_length_50015_cov_26.573812	5527	5955	+	229.5	130
78327at1763	Complete	NODE_2_length_141379_cov_27.290965	5380	4595	-	494.7	254
78338at1763	Duplicated	NODE_1_length_348435_cov_26.263884	133748	133245	-	247.2	141
78338at1763	Duplicated	NODE_1_length_348435_cov_26.263884	214688	215191	+	247.2	141
78361at1763	Complete	NODE_12_length_86089_cov_25.824931	16247	15603	-	232.0	152
78463at1763	Duplicated	NODE_28_length_61498_cov_26.124176	17707	18108	+	256.6	130
78463at1763	Duplicated	NODE_28_length_61498_cov_26.124176	43792	43391	-	256.6	130
78880at1763	Complete	NODE_7_length_101874_cov_25.599713	8767	9186	+	248.0	124
78962at1763	Complete	NODE_11_length_86115_cov_26.384342	75667	75266	-	243.6	131
79244at1763	Complete	NODE_32_length_55836_cov_24.758138	42135	42686	+	256.6	159
79425at1763	Complete	NODE_6_length_102250_cov_26.717734	56925	57419	+	295.3	149
80582at1763	Missing
80736at1763	Complete	NODE_11_length_86115_cov_26.384342	33070	32552	-	349.8	172
80752at1763	Complete	NODE_16_length_74802_cov_26.123546	3935	4354	+	275.6	127
80856at1763	Complete	NODE_10_length_91534_cov_27.119969	651	76	-	278.0	174
81100at1763	Complete	NODE_5_length_106117_cov_26.441098	85381	85064	-	219.1	99
81147at1763	Complete	NODE_97_length_8875_cov_20.935895	2767	2378	-	239.8	126
81404at1763	Duplicated	NODE_1_length_348435_cov_26.263884	138737	139840	+	596.7	345
81404at1763	Duplicated	NODE_1_length_348435_cov_26.263884	209699	208596	-	596.7	345
81505at1763	Complete	NODE_14_length_81223_cov_26.429843	76872	76309	-	322.1	165
81548at1763	Complete	NODE_6_length_102250_cov_26.717734	45549	44923	-	280.1	156
81868at1763	Complete	NODE_35_length_50015_cov_26.573812	39939	40331	+	276.7	128
81918at1763	Complete	NODE_8_length_98811_cov_26.943788	33408	34022	+	348.3	185
81993at1763	Complete	NODE_42_length_39325_cov_26.288626	13156	12758	-	217.5	126
82082at1763	Complete	NODE_50_length_29790_cov_26.176118	9319	9636	+	209.6	105
82210at1763	Complete	NODE_14_length_81223_cov_26.429843	70707	71057	+	209.8	108
82301at1763	Complete	NODE_36_length_47284_cov_27.552799	45213	45518	+	222.0	101
82409at1763	Complete	NODE_15_length_78221_cov_25.797029	62506	62000	-	257.0	154
82412at1763	Complete	NODE_13_length_83864_cov_25.393975	56807	57289	+	297.9	156
82699at1763	Fragmented	NODE_49_length_30605_cov_26.801068	2813	2520	-	148.2	93
82896at1763	Complete	NODE_16_length_74802_cov_26.123546	20248	20679	+	185.2	101
82926at1763	Complete	NODE_16_length_74802_cov_26.123546	38502	39008	+	273.4	145
82955at1763	Missing
82960at1763	Complete	NODE_69_length_18824_cov_29.393823	8689	9921	+	261.1	252
83007at1763	Complete	NODE_5_length_106117_cov_26.441098	269	580	+	198.1	103
83055at1763	Complete	NODE_19_length_70437_cov_26.982248	9545	9054	-	271.1	144
83678at1763	Complete	NODE_11_length_86115_cov_26.384342	12144	11773	-	210.5	117
84096at1763	Complete	NODE_24_length_64205_cov_27.166604	8005	7604	-	211.7	111
84249at1763	Complete	NODE_55_length_26647_cov_25.525932	24101	23646	-	282.8	151
84510at1763	Complete	NODE_4_length_113218_cov_24.295605	60776	60483	-	189.7	97
84809at1763	Complete	NODE_41_length_40471_cov_25.802545	15138	15626	+	282.1	147
85424at1763	Complete	NODE_75_length_16873_cov_26.546916	10251	10640	+	226.5	128
85506at1763	Complete	NODE_18_length_71476_cov_28.439264	1340	906	-	225.9	132
85537at1763	Complete	NODE_38_length_45596_cov_26.680990	40462	39863	-	352.1	198
85571at1763	Complete	NODE_16_length_74802_cov_26.123546	43807	43499	-	197.7	96
85901at1763	Complete	NODE_16_length_74802_cov_26.123546	6195	6737	+	315.8	169
86025at1763	Complete	NODE_108_length_6050_cov_27.518332	112	507	+	156.8	102
86233at1763	Complete	NODE_5_length_106117_cov_26.441098	98068	98496	+	199.8	125
86811at1763	Complete	NODE_19_length_70437_cov_26.982248	42010	41702	-	215.3	102
86927at1763	Complete	NODE_50_length_29790_cov_26.176118	3336	3743	+	198.2	99
87002at1763	Complete	NODE_8_length_98811_cov_26.943788	51482	51862	+	203.2	118
87120at1763	Complete	NODE_85_length_13127_cov_28.922682	8043	7387	-	388.5	216
87483at1763	Complete	NODE_4_length_113218_cov_24.295605	31971	32258	+	183.1	94
87541at1763	Complete	NODE_16_length_74802_cov_26.123546	2974	3195	+	171.8	72
87662at1763	Complete	NODE_66_length_20871_cov_24.463499	11662	11829	+	133.7	55
87996at1763	Complete	NODE_38_length_45596_cov_26.680990	39483	39037	-	177.9	104
88353at1763	Complete	NODE_6_length_102250_cov_26.717734	55674	56312	+	218.7	203
88909at1763	Complete	NODE_12_length_86089_cov_25.824931	71870	72217	+	227.5	114
89043at1763	Duplicated	NODE_77_length_15589_cov_26.628868	6599	6129	-	173.5	122
89043at1763	Duplicated	NODE_77_length_15589_cov_26.628868	8991	9461	+	173.5	122
89054at1763	Complete	NODE_45_length_35826_cov_25.505692	33446	33679	+	133.4	63
89250at1763	Complete	NODE_4_length_113218_cov_24.295605	58197	58679	+	259.1	158
90106at1763	Complete	NODE_60_length_24995_cov_25.848262	8254	8805	+	184.4	147
90170at1763	Complete	NODE_37_length_46606_cov_25.406026	6372	6133	-	165.5	78
90178at1763	Complete	NODE_97_length_8875_cov_20.935895	1295	1017	-	132.1	80
90433at1763	Complete	NODE_50_length_29790_cov_26.176118	1266	1859	+	251.4	134
90533at1763	Complete	NODE_43_length_36700_cov_24.963793	32129	32296	+	145.9	55
90624at1763	Complete	NODE_11_length_86115_cov_26.384342	2467	2285	-	137.6	59
90633at1763	Complete	NODE_55_length_26647_cov_25.525932	24278	24117	-	132.1	51
90989at1763	Fragmented	NODE_78_length_15420_cov_24.900736	14015	14239	+	107.9	63
90997at1763	Fragmented	NODE_3_length_131980_cov_26.711379	75120	74908	-	121.9	68
91076at1763	Complete	NODE_626_length_804_cov_1.962861	498	611	+	83.8	37
91080at1763	Missing
91229at1763	Complete	NODE_31_length_56331_cov_26.469691	48183	48356	+	132.3	56
91262at1763	Duplicated	NODE_1_length_348435_cov_26.263884	102099	102806	+	269.6	159
91262at1763	Duplicated	NODE_1_length_348435_cov_26.263884	246337	245630	-	269.6	159
91364at1763	Complete	NODE_81_length_13938_cov_26.976336	6438	6692	+	199.8	84
91392at1763	Complete	NODE_111_length_5459_cov_22.604051	85	495	+	284.7	134
91428at1763	Complete	NODE_29_length_60622_cov_26.605616	56476	56330	-	81.4	31
91493at1763	Complete	NODE_24_length_64205_cov_27.166604	44679	43825	-	176.3	130
91599at1763	Complete	NODE_9_length_97919_cov_26.930510	67337	66537	-	584.5	262
91615at1763	Complete	NODE_12_length_86089_cov_25.824931	7892	7614	-	133.7	73
